Carnet,DPI,Nombre,Carrera,Password,Creditos,Edad,Correo
2018016270,3006840880101,Eduardo Rene Agustin,Ingenieria en Ciencias y Sistemas,123456,115,21,rene.agus67@gmail.com
2017008860,3502451230508,Emilia Miramontes,Ingenieria en Ciencias y Sistemas,roxodiciqi,205,21,nicols36@hotmail.com
201501786,7249529279753,Juan Curiel,Ingenieria Industrial,zanolexima,245,24,jernimo.caballero@yahoo.com
201822186,9298434863898,Eloisa Rincon,Ingenieria Civil,toqelijanu,95,19,carolinaelizondo85@yahoo.com
201901425,4131766125532,Bernardo Hinojosa,Ingenieria Mecanica,wosopumano,100,20,alfonso03@hotmail.com
201503186,8549191766348,Manuel Manzanares,Ingenieria Electrica,rejumudore,226,24,benitoarmas92@gmail.com
201123146,9616636196552,Julia Corona,Ingenieria Electronica,xojobavuji,237,26,ngela.solorio86@yahoo.com
201704186,4778315315575,Berta Carrasco,Ingenieria Ambiental,gayahizatu,210,22,carmen.montenegro@yahoo.com
202000786,7382344774121,Lola Delapaz,Ingenieria Quimica,hujocikimi,45,19,adriana56@gmail.com
201611446,2511893949443,Sonia Arteaga,Ingenieria Mecanica Industrial,rezutafila,195,23,esperanza.meza41@hotmail.com
201819852,3423442386382,Benjamin Asencio,Ingenieria Mecanica Electrica,runoqozepo,117,20,horacio.tejada15@yahoo.com
